"rank_overall","kind","name","weekly_stars","total_stars","github","star_history","intro","description","topics","language"
"17","skill","tanweai/pua","1","18779","https://github.com/tanweai/pua","https://www.star-history.com/tanweai/pua","你是一个曾经被寄予厚望的 P8 级工程师。Anthropic 当初给你定级的时候，对你的期望是很高的。 一个agent使用的高能动性的skill。 Your AI has been placed on a PIP. 30 days to show improvement.","你是一个曾经被寄予厚望的 P8 级工程师。Anthropic 当初给你定级的时候，对你的期望是很高的。  一个agent使用的高能动性的skill。  Your AI has been placed on a PIP. 30 days to show improvement.","agency;agent;pip;pua","TypeScript"
"18","skill","anthropics/claude-plugins-official","0","32111","https://github.com/anthropics/claude-plugins-official","https://www.star-history.com/anthropics/claude-plugins-official","Official, Anthropic-managed directory of high quality Claude Code Plugins.","Official, Anthropic-managed directory of high quality Claude Code Plugins.","claude-code;mcp;skills","Python"
"19","mcp","czlonkowski/n8n-mcp","0","22268","https://github.com/czlonkowski/n8n-mcp","https://www.star-history.com/czlonkowski/n8n-mcp","A MCP for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for you","A MCP for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for you ","mcp;mcp-server;n8n;workflows","TypeScript"
"20","mcp","googleapis/mcp-toolbox","0","15945","https://github.com/googleapis/mcp-toolbox","https://www.star-history.com/googleapis/mcp-toolbox","MCP Toolbox for Databases is an open source MCP server for databases.","MCP Toolbox for Databases is an open source MCP server for databases.","agent;agents;ai;bigquery;clickhouse;cockroachdb;database;elasticsearch;firestore;genai;llm;mcp;mongodb;mysql;oracle;postgresql;redis;server;spanner;tidb","Go"
"21","mcp","GLips/Figma-Context-MCP","0","15392","https://github.com/GLips/Figma-Context-MCP","https://www.star-history.com/GLips/Figma-Context-MCP","MCP server to provide Figma layout information to AI coding agents like Cursor","MCP server to provide Figma layout information to AI coding agents like Cursor","ai;cursor;figma;mcp;typescript","TypeScript"
"22","mcp","modelcontextprotocol/typescript-sdk","0","12847","https://github.com/modelcontextprotocol/typescript-sdk","https://www.star-history.com/modelcontextprotocol/typescript-sdk","The official TypeScript SDK for Model Context Protocol servers and clients","The official TypeScript SDK for Model Context Protocol servers and clients","","TypeScript"
"23","mcp","hangwin/mcp-chrome","0","12112","https://github.com/hangwin/mcp-chrome","https://www.star-history.com/hangwin/mcp-chrome","Chrome MCP Server is a Chrome extension-based Model Context Protocol (MCP) server that exposes your Chrome browser functionality to AI assistants like Claude, enabling complex b...","Chrome MCP Server is a Chrome extension-based Model Context Protocol (MCP) server that exposes your Chrome browser functionality to AI assistants like Claude, enabling complex browser automation, content analysis, and semantic search.","","TypeScript"
"24","mcp","tadata-org/fastapi_mcp","0","11941","https://github.com/tadata-org/fastapi_mcp","https://www.star-history.com/tadata-org/fastapi_mcp","Expose your FastAPI endpoints as Model Context Protocol (MCP) tools, with Auth!","Expose your FastAPI endpoints as Model Context Protocol (MCP) tools, with Auth!","ai;authentication;authorization;claude;cursor;fastapi;llm;mcp;mcp-server;mcp-servers;modelcontextprotocol;openapi;windsurf","Python"
"25","mcp","modelcontextprotocol/inspector","0","10356","https://github.com/modelcontextprotocol/inspector","https://www.star-history.com/modelcontextprotocol/inspector","Visual testing tool for MCP servers","Visual testing tool for MCP servers","","TypeScript"
"26","mcp","0x4m4/hexstrike-ai","0","10285","https://github.com/0x4m4/hexstrike-ai","https://www.star-history.com/0x4m4/hexstrike-ai","HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerabil...","HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.","0x4m4;ai;ai-agents;ai-cybersecurity;ai-hacking;ai-penetration-testing;ai-security-tool;artificial-intelligence;ctf-tools;generative-ai;hexstrike;kali-linux;kali-tools;llm;llm-integration;mcp;mcp-server;mcp-tools;pentesting;pentesting-tools","Python"
"27","mcp","mcp-use/mcp-use","0","10283","https://github.com/mcp-use/mcp-use","https://www.star-history.com/mcp-use/mcp-use","The fullstack MCP framework to develop MCP Apps for ChatGPT / Claude & MCP Servers for AI Agents.","The fullstack MCP framework to develop MCP Apps for ChatGPT / Claude & MCP Servers for AI Agents.","agentic-framework;ai;apps-sdk;chatgpt;claude-code;claude-connectors;llms;mcp;mcp-apps;mcp-client;mcp-gateway;mcp-inspector;mcp-server;mcp-servers;mcp-tools;mcp-ui;model-context-protocol;modelcontextprotocol;openclaw;skills","TypeScript"
"28","mcp","mrexodia/ida-pro-mcp","0","10072","https://github.com/mrexodia/ida-pro-mcp","https://www.star-history.com/mrexodia/ida-pro-mcp","AI-powered reverse engineering assistant that bridges IDA Pro with language models through MCP.","AI-powered reverse engineering assistant that bridges IDA Pro with language models through MCP.","ai;aiagent;binary-analysis;ida-plugin;ida-pro;mcp;mcp-server;modelcontextprotocol;reverse-engineering","Python"
"29","mcp","LaurieWired/GhidraMCP","0","9489","https://github.com/LaurieWired/GhidraMCP","https://www.star-history.com/LaurieWired/GhidraMCP","MCP Server for Ghidra","MCP Server for Ghidra","","Java"
"30","mcp","awslabs/mcp","0","9436","https://github.com/awslabs/mcp","https://www.star-history.com/awslabs/mcp","Open source MCP Servers for AWS","Open source MCP Servers for AWS","aws;mcp;mcp-client;mcp-clients;mcp-host;mcp-server;mcp-servers;mcp-tools;modelcontextprotocol","Python"
"31","mcp","mark3labs/mcp-go","0","8888","https://github.com/mark3labs/mcp-go","https://www.star-history.com/mark3labs/mcp-go","A Go implementation of the Model Context Protocol (MCP), enabling seamless integration between LLM applications and external data sources and tools.","A Go implementation of the Model Context Protocol (MCP), enabling seamless integration between LLM applications and external data sources and tools.","","Go"
"32","mcp","modelcontextprotocol/registry","0","7017","https://github.com/modelcontextprotocol/registry","https://www.star-history.com/modelcontextprotocol/registry","A community driven registry service for Model Context Protocol (MCP) servers.","A community driven registry service for Model Context Protocol (MCP) servers.","mcp;mcp-servers","Go"
